classification,region_name,npoints
NUTS2,DE23,18
NUTS2,DE24,13
NUTS2,DE25,15
NUTS2,DE26,17
NUTS2,DE27,18
NUTS2,DE30,2
NUTS2,DE40,63
NUTS2,DE60,1
NUTS2,DE71,13
NUTS2,DE72,11
NUTS2,DE73,19
NUTS2,DE80,47
NUTS2,DE91,18
NUTS2,DE92,20
NUTS2,DE93,35
NUTS2,DE94,31
NUTS2,DEA1,13
NUTS2,DEA2,15
NUTS2,DEA3,14
NUTS2,DEA4,14
NUTS2,DEA5,15
NUTS2,DEB1,15
NUTS2,DEB2,10
NUTS2,DEB3,13
NUTS2,DEC0,7
NUTS2,DED2,17
NUTS2,DED4,15
NUTS2,DED5,8
NUTS2,DEE0,42
NUTS2,DEF0,35
NUTS2,DEG0,31
NUTS2,DK01,8
NUTS2,DK02,17
NUTS2,DK03,29
NUTS2,DK04,34
NUTS2,DK05,21
NUTS2,EE00,110
NUTS2,EL30,8
NUTS2,EL41,8
NUTS2,EL42,5
NUTS2,EL43,15
NUTS2,EL51,25
NUTS2,EL52,32
NUTS2,EL53,16
NUTS2,EL54,15
NUTS2,EL61,23
NUTS2,EL62,3
NUTS2,EL63,17
NUTS2,EL64,28
NUTS2,EL65,25
NUTS2,ES11,51
NUTS2,ES12,20
NUTS2,ES13,7
NUTS2,ES21,13
NUTS2,ES22,20
NUTS2,ES23,8
NUTS2,ES24,81
NUTS2,ES30,15
NUTS2,ES41,164
NUTS2,ES42,134
NUTS2,ES43,70
NUTS2,ES51,55
NUTS2,ES52,39
NUTS2,ES53,8
NUTS2,ES61,141
NUTS2,ES62,19
NUTS2,FI19,182
NUTS2,FI1B,22
NUTS2,FI1C,90
NUTS2,FI1D,703
NUTS2,FI20,4
NUTS2,FR10,23
NUTS2,FRB0,76
NUTS2,FRC1,60
NUTS2,FRC2,30
NUTS2,FRD1,35
NUTS2,FRD2,22
NUTS2,FRE1,24
NUTS2,FRE2,41
NUTS2,FRF1,17
NUTS2,FRF2,52
NUTS2,FRF3,48
NUTS2,FRG0,62
NUTS2,FRH0,55
NUTS2,FRI1,74
NUTS2,FRI2,31
NUTS2,FRI3,48
NUTS2,FRJ1,52
NUTS2,FRJ2,81
NUTS2,FRK1,49
NUTS2,FRK2,83
NUTS2,FRL0,59
NUTS2,FRM0,16
NUTS2,HR03,42
NUTS2,HR04,63
NUTS2,HU11,2
NUTS2,HU12,13
NUTS2,HU21,20
NUTS2,HU22,20
NUTS2,HU23,26
NUTS2,HU31,26
NUTS2,HU32,33
NUTS2,HU33,36
NUTS2,IE04,62
NUTS2,IE05,62
NUTS2,IE06,32
NUTS2,IS00,223
NUTS2,ITC1,44
NUTS2,ITC2,5
NUTS2,ITC3,10
NUTS2,ITC4,46
NUTS2,ITF1,17
NUTS2,ITF2,10
NUTS2,ITF3,24
NUTS2,ITF4,29
NUTS2,ITF5,18
NUTS2,ITF6,25
NUTS2,ITG1,44
NUTS2,ITG2,42
NUTS2,ITH1,16
NUTS2,ITH2,10
NUTS2,ITH3,33
NUTS2,ITH4,14
NUTS2,ITH5,39
